name,tier,rarity,type,piercing-damage,impact-damage,energy-damage,weight,slug,desc
Spiked Leather Jacket,2,common,Armor,0,7.76,0,5.00 kg,spiked-leather-jacket,"A thick leather jacket, with spikes along the sleeves, chest and shoulders."
Banded Leather Trench,2,common,Armor,0,8.69,0,6.20 kg,banded-leather-trench,"Long vertical strips of leather, lashed together with heavy cords, form this dark brown trench coat. Faux fur at the neck and shoulders and strung bones hanging from the chest give this jacket a truly feral look."
Spidersilk Fatigues,2,common,Armor,0,7.54,0,3.00 kg,spidersilk-fatigues,"A set of fatigues in black, grey, and brown camouflage, made from genetically enhanced spider silk."
The Brakenshield,3,epic,Armor,6,6,6,8.36 kg,the-brakenshield,A high quality piece of military attire designed to shield its wearer from heavy artillery fire.
SBS Tactical Combat Vest,1,epic,Armor,2.68,3.96,0,7.07 kg,sbs-tactical-combat-vest,"Originally scavenged from a cache of gear from Before, this armor is masterfully crafted. Words soldered onto the inside of the metallic lapel read, ""Property of Shield Battalion Sigma. Thieves will be shot, survivors will be shot again."""
Light Riot Gear,1,epic,Armor,6.71,0,0,7.50 kg,light-riot-gear,"For when the crowd is just a bit rowdy, this riot gear of lightly armored vest, gloves, and thigh pieces is perfect for everything from bouncing to surly protests."
Enhanced Combat Vest,1,uncommon,Armor,2.06,1.38,0,6.60 kg,enhanced-combat-vest,"Thin metal discs have been attached to this thick canvas vest. Many are bent or misshapen, and a few are missing."
Disco Catsuit,1,uncommon,Armor,0,0,3.86,2.50 kg,disco-catsuit,"This shiny catsuit is cut low in the front, to better show off cleavage or tufts of chest hair. The pants end in flouncy bell-bottoms that flutter when the wearer walks."
Arc Dancer's Suit,3,common,Armor,0,5.43,9.28,2.20 kg,arc-dancers-suit,"Form fitting and flexible, this suit is perfect for those times  when you have to combine gymnastics with laser dodging."
Smeared Composite Armor,2,rare,Armor,3.15,5.51,2.31,6.50 kg,smeared-composite-armor,"Plates of reflective metal, riveted to a thick leather backing, with a thin coat of anti-energy hardening gel smeared across the top of it."
LE-Suit 78,1,common,Armor,0,0,2.5,5.00 kg,le-suit-78,"The Low Energy Suit, 78 class, is an ancient model, even by Before standards. It might stop someone from shocking you with static accidentally in a dry part of the station. Maybe."
Light Storm Armor,2,common,Armor,2.92,0,5.37,7.00 kg,light-storm-armor,"Made from insulated bioplastic, this piecemeal armor set was once a full suit, but has been chopped up over the decades and mostly the chest and shoulder pieces remain."
Brig Warden's Stab Suit,3,epic,Armor,18.55,0.64,0.13,6.12 kg,brig-wardens-stab-suit,A full body suit offering protection against bladed weapons. Often worn by Brig wardens wary of inmates' hand-fashioned shanks.
Rusted Cuirass,1,common,Armor,1.16,0,0,7.00 kg,rusted-cuirass,"Light once gleamed off the smooth metal curves of this chest piece. Now, it barely hold together and the smooth curves have given way to deep dents and rusted holes."
Plated Poly-vinyl Vest,2,common,Armor,2.09,0,4.18,8.50 kg,plated-poly-vinyl-vest,The inside lining of this vest has been opened up and metal plates have been sewn inside. They clank slightly when one moves.
Spidersilk Flak Jacket,3,uncommon,Armor,6.16,9.58,0,2.50 kg,spidersilk-flak-jacket,"Woven from genetically enhanced spidersilk, this flak jacket's trauma plates are made from incredibly strong, vat-grown, limpet teeth."
Gaule Heavy Combat Suit,2,epic,Armor,9,2,2,7.49 kg,gaule-heavy-combat-suit,This distinctive red combat suit is standard for Gaule soldiers expecting dangerous assignments. It offers excellent protection from long and short range weapons alike.
Dielectric Paladin Armor,3,uncommon,Armor,9.66,0,6.14,12.50 kg,dielectric-paladin-armor,"Silver plates of tooled anti-energy plastic, covered in decorative etching, with brass accents at the shoulders and joints. Fit for a knight and perfect for a joust or a rousing battle in the ruins."
Light Scale Mail,1,rare,Armor,5.04,0,0,10.00 kg,light-scale-mail,"Metal discs, pounded flat and hung in overlapping scales, make up this flexible shirt. It makes a rattling sound when one moves, like someone is shaking a can of nails."
Light P3 Impact Suit,2,common,Armor,0,7.16,0,8.50 kg,light-p3-impact-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations. This suit's thin leather is backed with heavy cloth, offering additional impact protection."
Reflective Suit,1,rare,Armor,0,1.81,2.86,2.50 kg,reflective-suit,A shiny one piece with buckles and straps.
Metal Banded Electrician's Suit,2,common,Armor,2.87,0,4.94,7.00 kg,metal-banded-electricians-suit,"This full body, thick suit has had metal bands sewn onto the inside of it. The added protection the extra armor affords is quite possibly not worth how much it chafes and pokes the wearer."
Medium Nano-Suit,3,uncommon,Armor,6.3,0,9.43,13.00 kg,medium-nano-suit,"Composed of energy diffusing plates, and backed with metal plates, this bulky suit sacrifices speed for protection."
Padded Thermoplastic Armor,1,epic,Armor,0,3.68,2.94,8.00 kg,padded-thermoplastic-armor,This 3D printed set of armor has had heavy padding added to the back of it for comfort and protection.
Enstek Body Case,3,uncommon,Armor,5.25,0,10.16,5.70 kg,enstek-body-case,"A single-piece bodysuit made of thick, inflexible rubber. The name “Enstek” is stamped into the collar; a remnant of an armorer that existed Before."
Tarnished Combat Armor,1,common,Armor,1.49,0,0,8.20 kg,tarnished-combat-armor,"Corroded and lackluster, this armor suit is dull and looks to have been blackened by fire."
Padded Anti-Energy Vest,1,rare,Armor,0,1.97,3.11,4.60 kg,padded-anti-energy-vest,"A shiny vest, with a good amount of padding to it."
Scratchy Tunic,1,common,Armor,0,0,1.99,3.40 kg,scratchy-tunic,"Interwoven patches of hardened faux leather serve to make an effective, if uncomfortable and certainly appealing piece of armor."
Alamin Kinetic Vest,1,common,Armor,0.3,0.4,0.1,3.20 kg,alamin-kinetic-vest,An advanced combination of thick cloth and flexible metal light enough to wear under regular clothing.
Diffusion Armor,2,common,Armor,2.79,0,4.34,8.00 kg,diffusion-armor,"A hard plastic shell with a lined interior. This chest and back piece have seen some use, but have many fights still left in them."
Chitin Series Bodyarmor,4,common,Armor,8.62,0,8.96,4.24 kg,chitin-series-bodyarmor,The Chitin Series prioritizes sleek and agile functionality with a hefty portion of protection against both energy based attacks and those of piercing weapons.
Class 14 Hard Armor,3,rare,Armor,11.58,0,0,13.50 kg,class-14-hard-armor,"The ceramic plates in this vest are cumbersome, but effective against cutting weapons and projectiles."
Bloody Battle Jacket,3,epic,Armor,5.45,6.21,8.63,8.68 kg,bloody-battle-jacket,"An improvised all-round garment, stained with the blood of previous owners. You hope yours won't be added."
Tempest Tamer Collection Hazard Suit,5,rare,Armor,5.61,6.08,16.8,7.80 kg,tempest-tamer-collection-hazard-suit,"The enterprising scientist, wreck runner, or engineer needs to be able to tame the elements they seek to harness. What use is rerouting a plasma coupling if it fries you in the process? These armors utilize state of the art energy dissipation nanotechnology to keep you safe while you work."
Anti-Stabby Protectogear,5,common,Armor,16.65,5.16,2.46,7.05 kg,anti-stabby-protectogear,"Built for scientists needing protection from enterprising scavengers whilst out in the field, this hazmat suit comes with an interior lining of kevlar and specially designed attachments to confound sharp implements seeking the flesh beneath!"
Hard Science,3,epic,Armor,3.12,0.09,14.37,7.00 kg,hard-science,A line of armors designed by a Scientist Schismatic for his bodyguards to protect his laboratory from rival researchers. The collection quickly became popular and is now a staple for the guardians of Heinlein Stronghold's scientific community.
Patelloida Plated Body Armor,2,common,Armor,8.51,0,0,6.50 kg,patelloida-plated-body-armor,"Incredibly strong and flexible, the body armor of this suit is crafted from vat-grown limpet teeth which has been coaxed into shape. The shoulders and elbows boast long, cruel-looking spikes."
Reactive Armor,1,common,Armor,0,0.1,0.2,9.10 kg,reactive-armor,"An armor designed to deflect kinetic energy attacks by discharging small explosives before they're about to hit. If your opponent is using a hand-to-hand weapon, they may get injured."
Scammer's Chop Job,1,epic,Armor,7.28,0.07,0.93,8.89 kg,scammers-chop-job,This colorful piece is essentially an alloy plate fused over a recycled kevlar shirt. Whoever decorated it so fancifully probably did so to trick a prospective buyer into upping their bid.
Elite Anti-Energy Combat Suit,3,rare,Armor,0,6.58,10.34,6.50 kg,elite-anti-energy-combat-suit,A full body suit that completely encompasses the wearer. The anti-energy plastic shells of this suit are flexible and rated to take on even the most dangerous of blasts.
Heavy Flak Jacket,2,common,Armor,0,6.69,0,7.80 kg,heavy-flak-jacket,"This thick, black, gray, and brown camouflaged vest is lined with plates of ballistic plastics and has large pockets in the front."
Reinforced Diffusion Gear,2,common,Armor,0,0,6.92,8.00 kg,reinforced-diffusion-gear,"A full set of anti-energy armor, backed with heavy leather and padded with thick cotton."
Caen’s Ribbed Jacket,1,epic,Armor,1,1,5,5.23 kg,caens-ribbed-jacket,A brown-and-beige mottled leather jacket commonly favored by Freebooters.
Dilapidated Leather Dress,1,common,Armor,0,2.15,0,4.20 kg,dilapidated-leather-dress,"This worn leather dress is form fitting, from neck to knee, starting with a high Mandarin collar and ending with a slit up the side of the leg. It was probably quite the getup ages ago."
Mirror Covered Jacket,1,rare,Armor,0,1.99,3.13,5.00 kg,mirror-covered-jacket,"A short, padded jacket covered in small round mirrors, of varying sizes. It looks more suited to the dance floors of Botswana than a battlefield."
Consortium Catsuit,4,epic,Armor,2.14,0.24,21.85,6.86 kg,consortium-catsuit,"So-called because of its light and flexible design, the Consortium Catsuit is standard issue for fast-moving military operations."
Fire Fu of firefu,3,epic,Armor,0,6.5,12.2,4.20 kg,fire-fu-of-firefu,"When the need to give burn damage a fat ""frack you"" comes up, say FU to Fire with the Fire FU armor of firefu. For, from fire, frightening fits of flame fight fraught form in foundational and functional fortifications; this armor is better than all that. A favorite of the citizen firefu."
No Squish Protectogear,5,common,Armor,8.43,12.92,3.26,8.47 kg,no-squish-protectogear,"Built for scientists needing protection from enterprising scavengers whilst out in the field, this hazmat suit comes with inbuilt shock absorption technology that attempts to counter and redistribute particularly forceful impact damage."
Patchwork Thermoplastic Suit,1,common,Armor,0.78,1.44,0.87,5.20 kg,patchwork-thermoplastic-suit,Heavy scraps of worn leather sewn onto flexible sheets of thermoplastic lend some protection while sacrificing aesthetic and ease of movement.
Storm Armor Corset,1,rare,Armor,0,0,4.99,4.00 kg,storm-armor-corset,"Lined with flexible plastic boning, this insulated bioplastic black corset sports shiny red flames that lick up the torso up the wearer. Perfect for protecting the abdomen, but offers nothing for the upper chest and shoulders."
First Mate's Discordian Jacket,3,common,Armor,11.18,0.1,0.69,9.42 kg,first-mates-discordian-jacket,The Freebooters of the Apples of Discord like to think of themselves as a fancy folk. This stylish armor is one in a series they had crafted in an effort to merge protection with style.
Light Tatami Gusoku,2,common,Armor,0,6.43,0,10.50 kg,light-tatami-gusoku,"Lightweight and portable, this foldable armor consists of leather squares bound to a shirt of chain mail. The matching helmet is hard metal on top, with long flaps of chain and leather to protect the neck."
Mildewed Leather Duster,1,common,Armor,0,2.27,0,7.60 kg,mildewed-leather-duster,"A long jacket made from brown leather, which has become stained with the dusty white splotches of mildew."
Enhanced Arc Dancer's Suit,4,common,Armor,0,7.55,11.84,3.50 kg,enhanced-arc-dancers-suit,"Form fitting and flexible, this leather-lined suit is perfect for those times  when you have to combine gymnastics with laser dodging."
Light P3 Energy Suit,3,common,Armor,4.63,0,6.98,7.50 kg,light-p3-energy-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations. This light suit boasts thin energy deflection panels."
Shattered Ballistic Vest,1,common,Armor,0,0,0.81,6.00 kg,shattered-ballistic-vest,"Woven from layers of laminated fibers, this vest saved someone's life once, though the ceramic inserts shattered. They clatter now like broken pottery when the wearer moves around."
Razor Resistant Hazardwear,5,rare,Armor,25.78,2.51,0.41,4.68 kg,razor-resistant-hazardwear,Nobody needs rips or tears when working in potentially face melting enviornments. The Razor Resistant line is designed with in-seam nanokevlar to help dissuade that pesky blade!
Star Stalker Armor,2,common,Armor,0,8.57,0,8.00 kg,star-stalker-armor,"Black leather armor, studded with small silver rivets in constellation patterns from ancient Earth. This suit is a piece of history from Before."
Anti-Energy Suit,1,rare,Armor,0,0,4.83,9.00 kg,anti-energy-suit,"Sacrificing comfort for utility, this suit is made from stiff, laser-proof plastics. Works great, as long as the laser is very gentle."
Amber Aegis: BD30,2,epic,Armor,13.11,0,0.15,11.47 kg,amber-aegis-bd30,"Representing the highest pinnacle of Ajax tactical research and development, this armor utilizes a multiple layered lattice of nano-protective technology. The sleek BD30 is favored by Benevolent Dynamics field engineers."
Spidersilk Suit Jacket,3,common,Armor,0,5.02,7.82,2.00 kg,spidersilk-suit-jacket,"A slim-cut formal jacket, with a coating of anti-energy fabric, that has the ability to deflect attacks while at the same time keeping up with the latest trends."
Black Mantle Combat System,2,epic,Armor,5.07,0.32,7.78,8.64 kg,black-mantle-combat-system,The Black Mantle is a tactical combat vest originally developed for Black Ops Government missions. Deflective nanotechnology is utilized to provide protection and enhance combat efficiency.
Ribbed Officer’s Tunic,1,epic,Armor,1,5,1,3.62 kg,ribbed-officers-tunic,A common silver tunic often worn by off duty Consortium officers. This model features protective ribbing on the exterior.
Anti-Energy Vest,1,common,Armor,0,0,1.71,6.50 kg,anti-energy-vest,"Made from energy resistant materials, this vest is ready to protect your life! As long as the attack only happens to your chest."
Ragged Bomber Jacket,1,common,Armor,0,0.75,0,3.50 kg,ragged-bomber-jacket,"Threadbare and scuffed, the leather of this jacket is at least five different shades of brown. The darkest being a stain of some sort. The collar once boasted a soft, fur-like material. There are tufts left that stick out at all angles."
Spidersilk Dress,2,common,Armor,0,7.21,0,2.40 kg,spidersilk-dress,"Spun from the genetically enhanced fibers of spiders, this deep onyx colored dress offers the wearer fashion, ease of movement, and a deceptively strong piece of armor."
Pembroke Holi-Tunic,3,epic,Armor,3,3,12,5.20 kg,pembroke-holi-tunic,This interesting garment scans for threats and adjusts the garment to reflect energy attacks.
Spacer’s Ally,2,epic,Armor,0,4,9,6.48 kg,spacers-ally,"A thick and sturdy spacer’s suit, built more for comfort than protection. Keeps the wearer warm in cold environments and cool in hot ones, very breathable material."
Sinclair Battlegear,3,common,Armor,8.2,5.45,0,9.00 kg,sinclair-battlegear,"Assembly line produced, but incredibly effective, this armor is standard equipment for mercenaries and hired guns."
Leather Trench Coat,1,uncommon,Armor,0,4.29,0,5.50 kg,leather-trench-coat,"A long black jacket made from medium weight, flexible leather."
Heavy Liquid Armor Suit,3,rare,Armor,0,10.58,0,9.00 kg,heavy-liquid-armor-suit,"A suit made from chain-link backed thick fabric, comprised of a multitude of magnetorheological fluid pockets, which turn from liquid to solid when struck."
Plastic Jumpsuit,1,uncommon,Armor,1.25,0,2.74,4.30 kg,plastic-jumpsuit,The plastic form of this armor was perfectly molded to fit its original wearer. Who was definitely not the same size as you.
Padded Reflective Suit,2,common,Armor,0,4.16,2.5,4.00 kg,padded-reflective-suit,A thickly padded jumpsuit whose outer layer catches the light and gleams.
Medium Liquid Armor Suit,2,uncommon,Armor,0,9.75,0,4.50 kg,medium-liquid-armor-suit,The thick fabric of this armor set is comprised of a multitude of pockets which are filled with magnetorheological fluids that turn from liquid to solid when struck.
Medium Thermoplastic Suit,2,common,Armor,0,0,6.51,3.00 kg,medium-thermoplastic-suit,"Somewhat stiff, this suit of brown thermoplastic covers the upper torso, arms, and upper legs, with black plastic casing around joints."
Bosun's Discordian Jacket,3,common,Armor,10.37,1.97,0,3.35 kg,bosuns-discordian-jacket,The Freebooters of the Apples of Discord like to think of themselves as a fancy folk. This stylish armor is one in a series they had crafted in an effort to merge protection with style.
Ribbed Trench,1,common,Armor,0,2.33,0,4.50 kg,ribbed-trench,"A long, leather jacket, made from scraps of leather of various shades, this is one of the uniforms of Moemedi Medical personnel, minus their insignia."
Ripped Rubber Catsuit,1,common,Armor,0,0,1.54,2.40 kg,ripped-rubber-catsuit,"Form fitting and warm to wear, this catsuit has a zipper that goes from neck, all the way around to mid back. A seam near the crotch is starting to rip. You might not want to go commando."
Chain-Backed Scale Mail,2,common,Armor,9.15,0,0,10.50 kg,chain-backed-scale-mail,"This heavy piece is a vest made of chain mail, upon which dozens of flattened metal disc scales have been hung."
Arc Dancer's Jump Suit,3,common,Armor,0,4.5,7.31,2.50 kg,arc-dancers-jump-suit,"A full body suit of anti-energy fabric, backed with a soft, flexible material that allows for ease of movement."
Reinforced Dress Coat,2,common,Armor,2.64,3.42,0,6.00 kg,reinforced-dress-coat,"Good for when you're heading to a museum on Nouveau Limoges, or popping over to the ruins for some stylish treasure hunting. Thick and sleek, this dress coat has had thin metal sheets sewn onto the inside layer."
Amber Aegis: BD32,1,epic,Armor,5.42,1.18,1.37,5.27 kg,amber-aegis-bd32,"Representing the highest pinnacle of Ajax tactical research and development, this armor utilizes a multiple layered lattice of nano-protective technology. The sleek BD32 is favored by Benevolent Dynamics field security personnel."
Repulsion Armor,4,common,Armor,0,6.11,12.05,4.00 kg,repulsion-armor,Thick armor of repulsive fabrics that deflect energy attacks away from the wearer.
Light Kinetic Vest,2,common,Armor,2.85,5.1,0,3.50 kg,light-kinetic-vest,"A combination of thick cloth and flexible metal, light enough to wear under regular clothing."
Anti-Energy Saree,2,common,Armor,0,0,7.28,2.50 kg,anti-energy-saree,Meter upon meter of pleated anti-energy fabric make up the skirt and drape of this beautiful red and gold embroidered  garment.
Spidersilk Concealable Vest,2,common,Armor,0,7.78,0,3.00 kg,spidersilk-concealable-vest,"This vest is thin enough to fit under clothing, and strong enough to protect the wearer from deadly attack."
Sinclair Diffusion Battlegear,3,common,Armor,5.9,0,8.91,7.00 kg,sinclair-diffusion-battlegear,"A set of anti-energy enhanced battlegear, composed of a chest piece, gloves, thigh and shin armor, and a heavy-duty helmet."
Magnus Burnshield,5,epic,Armor,5.13,14.17,13.43,7.49 kg,magnus-burnshield,"A garment specifically designed to stand up to extreme heat, flames and explosives."
Scavenger Plate,1,common,Armor,0,0.2,0.1,14.00 kg,scavenger-plate,"Made from scavenged sheets of thick iron, this heavy armor is effective at deflecting bullets and blunt objects but contains gaps that leave it vulnerable to cutting and piercing weapons."
Corroded Combat Vest,1,common,Armor,0.95,0,0,6.60 kg,corroded-combat-vest,"Thin, rusted, metal plates have created yellow-brown stains of corrosion upon the vest of ancient canvas to which they are bolted."
Arc Defier Trenchcoat,3,common,Armor,0,6.03,8.3,6.50 kg,arc-defier-trenchcoat,A long brown trench of fluorocarbon fiber cloth and leather strips.
Coat of Ten Thousand Nails,3,rare,Armor,6.9,10.56,0,8.00 kg,coat-of-ten-thousand-nails,"A padded leather jacket covered in bright yellow and red velvet and reinforced with metal plates. The long coat is split to the waist, allowing for freedom of movement. Matching vambraces and steel-plated boots complete the set."
Ajax Systems Tactical Vest,3,epic,Armor,7.31,1.73,10.78,4.44 kg,ajax-systems-tactical-vest,A multi-purpose vest designed for non-ballistic combat scenarios.
Lightning Rogue Armor,3,uncommon,Armor,0,9.62,5.88,4.50 kg,lightning-rogue-armor,"A set of soft leather gear, coated with diffusion gel. Not a single piece of metal has been used to create this set, and the entire design was made with a focus on easy, silent movement."
Lampyridae Armor,2,common,Armor,0,0,7.17,7.00 kg,lampyridae-armor,"This hard-shelled armor set is made from conductive armor plates which both redirect and store energy, giving the suit a soft green-yellow glow."
Elite Storm Armor,3,uncommon,Armor,0,6.59,9.35,8.00 kg,elite-storm-armor,"Lightweight and durable, this insulated bioplastic armor offers shoulder and side adjustability for comfort and optimal freedom of movement."
Water Miner’s Jumpsuit,5,epic,Armor,1.46,3.26,26.89,7.84 kg,water-miners-jumpsuit,"A waterproof, thermal jumpsuit often worn by water miners to keep warm and dry."
Elite P3 Energy Suit,3,rare,Armor,0,6.9,10.63,9.00 kg,elite-p3-energy-suit,"Popular among many security forces, the P3's modular design allows it to be adapted to many situations. This suit boasts energy deflection panels and reinforced chest, arm, and leg pieces."
Ruins Diving Suit,2,common,Armor,5.75,0,0,7.50 kg,ruins-diving-suit,This armored suit boasts flexible joints and heavy plates of a light-weight metal that is nonetheless incredibly strong and deft at turning away attacks.
